tv_symbol,screener_slug,bse_code,isin,name
NSE:INGERRAND,INGERRAND,,INE177A01018,Ingersoll Rand (India) Limited
NSE:INNOVACAP,INNOVACAP,,INE0DUT01020,Innova Captab Limited
NSE:INNOVANA,INNOVANA,,INE403Y01018,Innovana Thinklabs Limited
NSE:INNOVISION,INNOVISION,,INE0ADB01012,Innovision Limited
NSE:INOXGREEN,INOXGREEN,,INE510W01014,Inox Green Energy Services Limited
NSE:INOXINDIA,INOXINDIA,,INE616N01034,INOX India Limited
NSE:INOXWIND,INOXWIND,,INE066P01011,Inox Wind Limited
NSE:INSECTICID,INSECTICID,,INE070I01018,Insecticides (India) Limited
NSE:INSPIRISYS,INSPIRISYS,,INE020G01017,Inspirisys Solutions Limited
NSE:INTELLECT,INTELLECT,,INE306R01017,Intellect Design Arena Limited
NSE:INTENTECH,INTENTECH,,INE781A01025,Intense Technologies Limited
NSE:INTERARCH,INTERARCH,,INE00M901018,Interarch Building Solutions Limited
NSE:INTLCONV,INTLCONV,,INE575C01027,International Conveyors Limited
NSE:INVENTURE,INVENTURE,,INE878H01024,Inventure Growth & Securities Limited
NSE:INVPRECQ,INVPRECQ,,INE155E01016,Investment & Precision Castings Limited
NSE:IOB,IOB,,INE565A01014,Indian Overseas Bank
NSE:IOC,IOC,,INE242A01010,Indian Oil Corporation Limited
NSE:IOLCP,IOLCP,,INE485C01029,IOL Chemicals and Pharmaceuticals Limited
NSE:IONEXCHANG,IONEXCHANG,,INE570A01022,ION Exchange (India) Limited
NSE:IPCALAB,IPCALAB,,INE571A01038,IPCA Laboratories Limited
NSE:IPL,IPL,,INE0D6701023,India Pesticides Limited
NSE:IRB,IRB,,INE821I01022,IRB Infrastructure Developers Limited
NSE:IRCON,IRCON,,INE962Y01021,Ircon International Limited
NSE:IRCTC,IRCTC,,INE335Y01020,Indian Railway Catering And Tourism Corporation Limited
NSE:IREDA,IREDA,,INE202E01016,Indian Renewable Energy Development Agency Limited
NSE:IRFC,IRFC,,INE053F01010,Indian Railway Finance Corporation Limited
NSE:IRIS,IRIS,,INE864K01010,IRIS RegTech Solutions Limited
NSE:IRISDOREME,IRISDOREME,,INE01GN01025,Iris Clothings Limited
NSE:IRMENERGY,IRMENERGY,,INE07U701015,IRM Energy Limited
NSE:ISFT,ISFT,,INE566K01011,Intrasoft Technologies Limited
NSE:ISGEC,ISGEC,,INE858B01029,Isgec Heavy Engineering Limited
NSE:ISHANCH,ISHANCH,,INE561M01018,Ishan Dyes and Chemicals Limited
NSE:ITC,ITC,,INE154A01025,ITC Limited
NSE:ITCHOTELS,ITCHOTELS,,INE379A01028,ITC Hotels Limited
NSE:ITDC,ITDC,,INE353K01014,India Tourism Development Corporation Limited
NSE:ITI,ITI,,INE248A01017,ITI Limited
NSE:IVALUE,IVALUE,,INE056801025,Ivalue Infosolutions Limited
NSE:IVC,IVC,,INE050B01023,IL&FS Investment Managers Limited
NSE:IVP,IVP,,INE043C01018,IVP Limited
NSE:IWP,IWP,,INE586E01020,The Indian Wood Products Company Limited
NSE:IXIGO,IXIGO,,INE0HV901016,Le Travenues Technology Limited
NSE:IZMO,IZMO,,INE848A01014,IZMO Limited
NSE:J&KBANK,J&KBANK,,INE168A01041,The Jammu & Kashmir Bank Limited
NSE:JAGRAN,JAGRAN,,INE199G01027,Jagran Prakashan Limited
NSE:JAGSNPHARM,JAGSNPHARM,,INE048B01035,Jagsonpal Pharmaceuticals Limited
NSE:JAIBALAJI,JAIBALAJI,,INE091G01026,Jai Balaji Industries Limited
NSE:JAICORPLTD,JAICORPLTD,,INE070D01027,Jai Corp Limited
NSE:JAINREC,JAINREC,,INE0YD401026,Jain Resource Recycling Limited
NSE:JAIPURKURT,JAIPURKURT,,INE696V01013,Nandani Creation Limited
NSE:JAMNAAUTO,JAMNAAUTO,,INE039C01032,Jamna Auto Industries Limited
NSE:JARO,JARO,,INE00YJ01010,Jaro Institute of Technology Management and Research Limited
NSE:JASH,JASH,,INE039O01029,Jash Engineering Limited
NSE:JAYAGROGN,JAYAGROGN,,INE785A01026,Jayant Agro Organics Limited
NSE:JAYBARMARU,JAYBARMARU,,INE571B01036,Jay Bharat Maruti Limited
NSE:JAYKAY,JAYKAY,,INE903A01025,Jaykay Enterprises Limited
NSE:JAYNECOIND,JAYNECOIND,,INE854B01010,Jayaswal Neco Industries Limited
NSE:JAYSREETEA,JAYSREETEA,,INE364A01020,Jayshree Tea & Industries Limited
NSE:JBCHEPHARM,JBCHEPHARM,,INE572A01036,JB Chemicals & Pharmaceuticals Limited
NSE:JBMA,JBMA,,INE927D01051,JBM Auto Limited
NSE:JETFREIGHT,JETFREIGHT,,INE982V01025,Jet Freight Logistics Limited
NSE:JGCHEM,JGCHEM,,INE0MB501011,J.G.Chemicals Limited
NSE:JHS,JHS,,INE544H01014,JHS Svendgaard Laboratories Limited
NSE:JINDALPHOT,JINDALPHOT,,INE796G01012,Jindal Photo Limited
NSE:JINDALPOLY,JINDALPOLY,,INE197D01010,Jindal Poly Films Limited
NSE:JINDALSAW,JINDALSAW,,INE324A01032,Jindal Saw Limited
NSE:JINDALSTEL,JINDALSTEL,,INE749A01030,JINDAL STEEL LIMITED
NSE:JINDRILL,JINDRILL,,INE742C01031,Jindal Drilling And Industries Limited
NSE:JINDWORLD,JINDWORLD,,INE247D01039,Jindal Worldwide Limited
NSE:JIOFIN,JIOFIN,,INE758E01017,Jio Financial Services Limited
NSE:JISLDVREQS,JISLDVREQS,,IN9175A01010,Jain Irrigation Systems Limited
NSE:JISLJALEQS,JISLJALEQS,,INE175A01038,Jain Irrigation Systems Limited
NSE:JITFINFRA,JITFINFRA,,INE863T01013,JITF Infralogistics Limited
NSE:JKCEMENT,JKCEMENT,,INE823G01014,JK Cement Limited
NSE:JKIL,JKIL,,INE576I01022,J.Kumar Infraprojects Limited
NSE:JKIPL,JKIPL,,INE1FF001016,Jinkushal Industries Limited
NSE:JKLAKSHMI,JKLAKSHMI,,INE786A01032,JK Lakshmi Cement Limited
NSE:JKPAPER,JKPAPER,,INE789E01012,JK Paper Limited
NSE:JKTYRE,JKTYRE,,INE573A01042,JK Tyre & Industries Limited
NSE:JLHL,JLHL,,INE682M01012,Jupiter Life Line Hospitals Limited
NSE:JMA,JMA,,INE412C01023,Jullundur Motor Agency (Delhi) Limited
NSE:JMFINANCIL,JMFINANCIL,,INE780C01023,JM Financial Limited
NSE:JNKINDIA,JNKINDIA,,INE0OAF01028,JNK India Limited
NSE:JOCIL,JOCIL,,INE839G01010,Jocil Limited
NSE:JPOLYINVST,JPOLYINVST,,INE147P01019,Jindal Poly Investment and Finance Company Limited
NSE:JPPOWER,JPPOWER,,INE351F01018,Jaiprakash Power Ventures Limited
NSE:JSFB,JSFB,,INE953L01027,Jana Small Finance Bank Limited
NSE:JSL,JSL,,INE220G01021,Jindal Stainless Limited
NSE:JSLL,JSLL,,INE0J5801029,Jeena Sikho Lifecare Limited
NSE:JSWCEMENT,JSWCEMENT,,INE718I01012,JSW Cement Limited
NSE:JSWDULUX,JSWDULUX,,INE133A01011,JSW Dulux Limited
NSE:JSWENERGY,JSWENERGY,,INE121E01018,JSW Energy Limited
NSE:JSWHL,JSWHL,,INE824G01012,JSW Holdings Limited
NSE:JSWINFRA,JSWINFRA,,INE880J01026,JSW Infrastructure Limited
NSE:JSWSTEEL,JSWSTEEL,,INE019A01038,JSW Steel Limited
NSE:JTEKTINDIA,JTEKTINDIA,,INE643A01035,Jtekt India Limited
NSE:JTLIND,JTLIND,,INE391J01032,JTL INDUSTRIES LIMITED
NSE:JUBLCPL,JUBLCPL,,INE03CC01015,Jubilant Agri and Consumer Products Limited
NSE:JUBLFOOD,JUBLFOOD,,INE797F01020,Jubilant Foodworks Limited
NSE:JUBLINGREA,JUBLINGREA,,INE0BY001018,Jubilant Ingrevia Limited
NSE:JUBLPHARMA,JUBLPHARMA,,INE700A01033,Jubilant Pharmova Limited
NSE:JUNIPER,JUNIPER,,INE696F01016,Juniper Hotels Limited
NSE:JUSTDIAL,JUSTDIAL,,INE599M01018,Just Dial Limited
NSE:JWL,JWL,,INE209L01016,Jupiter Wagons Limited
NSE:JYOTHYLAB,JYOTHYLAB,,INE668F01031,Jyothy Labs Limited
NSE:JYOTICNC,JYOTICNC,,INE980O01024,Jyoti CNC Automation Limited
NSE:JYOTISTRUC,JYOTISTRUC,,INE197A01024,Jyoti Structures Limited
NSE:KABRAEXTRU,KABRAEXTRU,,INE900B01029,Kabra Extrusion Technik Limited
NSE:KAJARIACER,KAJARIACER,,INE217B01036,Kajaria Ceramics Limited
NSE:KAKATCEM,KAKATCEM,,INE437B01014,Kakatiya Cement Sugar & Industries Limited
NSE:KALAMANDIR,KALAMANDIR,,INE438K01021,Sai Silks (Kalamandir) Limited
NSE:KALPATARU,KALPATARU,,INE227J01012,Kalpataru Limited
NSE:KALYANI,KALYANI,,INE610E01010,Kalyani Commercials Limited
NSE:KALYANIFRG,KALYANIFRG,,INE314G01014,Kalyani Forge Limited
NSE:KALYANKJIL,KALYANKJIL,,INE303R01014,Kalyan Jewellers India Limited
NSE:KAMAHOLD,KAMAHOLD,,INE411F01010,Kama Holdings Limited
NSE:KAMATHOTEL,KAMATHOTEL,,INE967C01018,Kamat Hotels (I) Limited
NSE:KAMDHENU,KAMDHENU,,INE390H01020,Kamdhenu Limited
NSE:KAMOPAINTS,KAMOPAINTS,,INE0BTI01037,Kamdhenu Ventures Limited
NSE:KANANIIND,KANANIIND,,INE879E01037,Kanani Industries Limited
NSE:KANCHI,KANCHI,,INE081G01019,Kanchi Karpooram Limited
NSE:KANORICHEM,KANORICHEM,,INE138C01024,Kanoria Chemicals & Industries Limited
NSE:KANPRPLA,KANPRPLA,,INE694E01014,Kanpur Plastipack Limited
NSE:KANSAINER,KANSAINER,,INE531A01024,Kansai Nerolac Paints Limited
NSE:KAPSTON,KAPSTON,,INE542Z01028,Kapston Services Limited
NSE:KARMAENG,KARMAENG,,INE725L01011,Karma Energy Limited
NSE:KARURVYSYA,KARURVYSYA,,INE036D01028,Karur Vysya Bank Limited
NSE:KAUSHALYA,KAUSHALYA,,INE234I01028,Kaushalya Infrastructure Development Corporation Limited
NSE:KAVDEFENCE,KAVDEFENCE,,INE641C01019,Kavveri Defence & Wireless Technologies Limited
NSE:KAYA,KAYA,,INE587G01015,Kaya Limited
NSE:KAYNES,KAYNES,,INE918Z01012,Kaynes Technology India Limited
NSE:KCP,KCP,,INE805C01028,KCP Limited
NSE:KCPSUGIND,KCPSUGIND,,INE790B01024,KCP Sugar and Industries Corporation Limited
NSE:KDDL,KDDL,,INE291D01011,KDDL Limited
NSE:KEC,KEC,,INE389H01022,KEC International Limited
NSE:KECL,KECL,,INE134B01017,Kirloskar Electric Company Limited
NSE:KEEPLEARN,KEEPLEARN,,INE055C01020,DSJ Keep Learning Limited
NSE:KEI,KEI,,INE878B01027,KEI Industries Limited
NSE:KELLTONTEC,KELLTONTEC,,INE164B01030,Kellton Tech Solutions Limited
NSE:KENNAMET,KENNAMET,,INE717A01029,Kennametal India Limited
NSE:KERNEX,KERNEX,,INE202H01019,Kernex Microsystems (India) Limited
NSE:KESORAMIND,KESORAMIND,,INE087A01019,Kesoram Industries Limited
NSE:KEYFINSERV,KEYFINSERV,,INE681C01015,Keynote Financial Services Limited
NSE:KFINTECH,KFINTECH,,INE138Y01010,Kfin Technologies Limited
NSE:KHADIM,KHADIM,,INE834I01025,Khadim India Limited
NSE:KHAICHEM,KHAICHEM,,INE745B01028,Khaitan Chemicals & Fertilizers Limited
NSE:KHAITANLTD,KHAITANLTD,,INE731C01018,Khaitan (India) Limited
NSE:KHANDSE,KHANDSE,,INE060B01014,Khandwala Securities Limited
NSE:KICL,KICL,,INE029L01018,Kalyani Investment Company Limited
NSE:KILITCH,KILITCH,,INE729D01010,Kilitch Drugs (India) Limited
NSE:KIMS,KIMS,,INE967H01025,Krishna Institute of Medical Sciences Limited
NSE:KINGFA,KINGFA,,INE473D01015,Kingfa Science & Technology (India) Limited
NSE:KIOCL,KIOCL,,INE880L01014,KIOCL Limited
NSE:KIRANVYPAR,KIRANVYPAR,,INE555P01013,Kiran Vyapar Limited
NSE:KIRIINDUS,KIRIINDUS,,INE415I01015,Kiri Industries Limited
NSE:KIRLFER,KIRLFER,,INE884B01025,Kirloskar Ferrous Industries Limited
NSE:KIRLOSBROS,KIRLOSBROS,,INE732A01036,Kirloskar Brothers Limited
NSE:KIRLOSENG,KIRLOSENG,,INE146L01010,Kirloskar Oil Engines Limited
NSE:KIRLOSIND,KIRLOSIND,,INE250A01039,Kirloskar Industries Limited
NSE:KIRLPNU,KIRLPNU,,INE811A01020,Kirloskar Pneumatic Company Limited
NSE:KISSHT,KISSHT,,INE12F801023,OnEMI Technology Solutions Limited
NSE:KITEX,KITEX,,INE602G01020,Kitex Garments Limited
NSE:KKCL,KKCL,,INE401H01017,Kewal Kiran Clothing Limited
NSE:KLBRENG-B,KLBRENG-B,,INE338F01015,Kilburn Engineering Limited
NSE:KMEW,KMEW,,INE0CJD01029,Knowledge Marine & Engineering Works Limited
NSE:KMSUGAR,KMSUGAR,,INE157H01023,K.M.Sugar Mills Limited
NSE:KNAGRI,KNAGRI,,INE0KNW01016,KN Agri Resources Limited
NSE:KNRCON,KNRCON,,INE634I01029,KNR Constructions Limited
NSE:KOHINOOR,KOHINOOR,,INE080B01012,Kohinoor Foods Limited
NSE:KOKUYOCMLN,KOKUYOCMLN,,INE760A01029,Kokuyo Camlin Limited
NSE:KOLTEPATIL,KOLTEPATIL,,INE094I01018,Kolte - Patil Developers Limited
NSE:KOPRAN,KOPRAN,,INE082A01010,Kopran Limited
NSE:KOTAKBANK,KOTAKBANK,,INE237A01036,Kotak Mahindra Bank Limited
NSE:KOTARISUG,KOTARISUG,,INE419A01022,Kothari Sugars And Chemicals Limited
NSE:KOTHARIPET,KOTHARIPET,,INE720A01015,Kothari Petrochemicals Limited
NSE:KOTHARIPRO,KOTHARIPRO,,INE823A01017,Kothari Products Limited
NSE:KOTIC,KOTIC,,INE972A01020,Kothari Industrial Corporation Limited
NSE:KOTYARK,KOTYARK,,INE0J0B01017,Kotyark Industries Limited
NSE:KOVAI,KOVAI,,INE177F01017,Kovai Medical Center & Hospital Limited
NSE:KPEL,KPEL,,INE127T01021,K.P. Energy Limited
NSE:KPIGREEN,KPIGREEN,,INE542W01025,KPI Green Energy Limited
NSE:KPIL,KPIL,,INE220B01022,Kalpataru Projects International Limited
NSE:KPITTECH,KPITTECH,,INE04I401011,KPIT Technologies Limited
NSE:KPL,KPL,,INE552U01010,Kwality Pharmaceuticals Limited
NSE:KPRMILL,KPRMILL,,INE930H01031,K.P.R. Mill Limited
NSE:KRBL,KRBL,,INE001B01026,KRBL Limited
NSE:KREBSBIO,KREBSBIO,,INE268B01013,Krebs Biochemicals and Industries Limited
NSE:KRIDHANINF,KRIDHANINF,,INE524L01026,Kridhan Infra Limited
NSE:KRISHANA,KRISHANA,,INE506W01012,Krishana Phoschem Limited
NSE:KRISHIVAL,KRISHIVAL,,INE0GGO01015,Krishival Foods Limited
NSE:KRISHNADEF,KRISHNADEF,,INE0J5601015,Krishna Defence And Allied Industries Limited
NSE:KRITI,KRITI,,INE479D01038,Kriti Industries (India) Limited
NSE:KRITIKA,KRITIKA,,INE00Z501029,Kritika Wires Limited
NSE:KRITINUT,KRITINUT,,INE798K01010,Kriti Nutrients Limited
NSE:KRN,KRN,,INE0Q3J01015,KRN Heat Exchanger and Refrigeration Limited
NSE:KRONOX,KRONOX,,INE0ATZ01017,Kronox Lab Sciences Limited
NSE:KROSS,KROSS,,INE0O6601022,Kross Limited
NSE:KRSNAA,KRSNAA,,INE08LI01020,Krsnaa Diagnostics Limited
NSE:KRYSTAL,KRYSTAL,,INE0QN801017,Krystal Integrated Services Limited
NSE:KSB,KSB,,INE999A01023,Ksb Limited
NSE:KSCL,KSCL,,INE455I01029,Kaveri Seed Company Limited
NSE:KSHINTL,KSHINTL,,INE987S01020,KSH International Limited
NSE:KSHITIJPOL,KSHITIJPOL,,INE013801027,Kshitij Polyline Limited
NSE:KSL,KSL,,INE907A01026,Kalyani Steels Limited
NSE:KSOLVES,KSOLVES,,INE0D6I01023,Ksolves India Limited
NSE:KSR,KSR,,INE1SPP01016,KSR Footwear Limited
NSE:KTKBANK,KTKBANK,,INE614B01018,The Karnataka Bank Limited
NSE:KUANTUM,KUANTUM,,INE529I01021,Kuantum Papers Limited
NSE:KWIL,KWIL,,INE2KCE01013,Kwality Wall's (India) Limited
NSE:LAGNAM,LAGNAM,,INE548Z01017,Lagnam Spintex Limited
NSE:LAHOTIOV,LAHOTIOV,,INE515C01023,Lahoti Overseas Limited
NSE:LAKPRE,LAKPRE,,INE651C01018,Lakshmi Precision Screws Limited
NSE:LAL,LAL,,INE740X01023,Lorenzini Apparels Limited
NSE:LALPATHLAB,LALPATHLAB,,INE600L01024,Dr. Lal Path Labs Ltd.
NSE:LAMBODHARA,LAMBODHARA,,INE112F01022,Lambodhara Textiles Limited
NSE:LANCORHOL,LANCORHOL,,INE572G01025,Lancor Holdings Limited
NSE:LANDMARK,LANDMARK,,INE559R01029,Landmark Cars Limited
NSE:LANDSMILL,LANDSMILL,,INE688J01023,Landsmill Green Limited
NSE:LAOPALA,LAOPALA,,INE059D01020,La Opala RG Limited
NSE:LASA,LASA,,INE670X01014,Lasa Supergenerics Limited
NSE:LATENTVIEW,LATENTVIEW,,INE0I7C01011,Latent View Analytics Limited
NSE:LATTEYS,LATTEYS,,INE262Z01023,Latteys Industries Limited
NSE:LAURUSLABS,LAURUSLABS,,INE947Q01028,Laurus Labs Limited
NSE:LAXMICOT,LAXMICOT,,INE801V01019,Laxmi Cotspin Limited
NSE:LAXMIDENTL,LAXMIDENTL,,INE0WO601020,Laxmi Dental Limited
NSE:LAXMIINDIA,LAXMIINDIA,,INE06WU01026,Laxmi India Finance Limited
NSE:LCCINFOTEC,LCCINFOTEC,,INE938A01021,LCC Infotech Limited
NSE:LEMERITE,LEMERITE,,INE0G1L01017,Le Merite Exports Limited
NSE:LEMONTREE,LEMONTREE,,INE970X01018,Lemon Tree Hotels Limited
NSE:LENSKART,LENSKART,,INE956O01016,Lenskart Solutions Limited
NSE:LEXUS,LEXUS,,INE500X01013,Lexus Granito (India) Limited
NSE:LFIC,LFIC,,INE850E01012,Lakshmi Finance & Industrial Corporation Limited
NSE:LGBBROSLTD,LGBBROSLTD,,INE337A01034,LG Balakrishnan & Bros Limited
NSE:LGEINDIA,LGEINDIA,,INE324D01010,LG Electronics India Limited
NSE:LGHL,LGHL,,INE258Y01016,Laxmi Goldorna House Limited
NSE:LIBAS,LIBAS,,INE908V01012,Libas Consumer Products Limited
NSE:LIBERTSHOE,LIBERTSHOE,,INE557B01019,Liberty Shoes Limited
NSE:LICHSGFIN,LICHSGFIN,,INE115A01026,LIC Housing Finance Limited
NSE:LICI,LICI,,INE0J1Y01017,Life Insurance Corporation Of India
NSE:LIKHITHA,LIKHITHA,,INE060901027,Likhitha Infrastructure Limited
NSE:LINC,LINC,,INE802B01027,Linc Limited
NSE:LINCOLN,LINCOLN,,INE405C01035,Lincoln Pharmaceuticals Limited
NSE:LINDEINDIA,LINDEINDIA,,INE473A01011,Linde India Limited
NSE:LLOYDSENGG,LLOYDSENGG,,INE093R01011,LLOYDS ENGINEERING WORKS LIMITED
NSE:LLOYDSENT,LLOYDSENT,,INE080I01025,Lloyds Enterprises Limited
NSE:LLOYDSME,LLOYDSME,,INE281B01032,Lloyds Metals And Energy Limited
NSE:LMW,LMW,,INE269B01029,LMW Limited
NSE:LODHA,LODHA,,INE670K01029,Lodha Developers Limited
NSE:LOKESHMACH,LOKESHMACH,,INE397H01017,Lokesh Machines Limited
NSE:LORDSCHLO,LORDSCHLO,,INE846D01012,Lords Chloro Alkali Limited
NSE:LOTUSDEV,LOTUSDEV,,INE0V9Q01010,Sri Lotus Developers and Realty Limited
NSE:LOTUSEYE,LOTUSEYE,,INE947I01017,Lotus Eye Hospital and Institute Limited
NSE:LOVABLE,LOVABLE,,INE597L01014,Lovable Lingerie Limited
NSE:LOYALTEX,LOYALTEX,,INE970D01010,Loyal Textile Mills Limited
NSE:LPDC,LPDC,,INE197J01017,Landmark Property Development Company Limited
NSE:LT,LT,,INE018A01030,Larsen & Toubro Limited
NSE:LTF,LTF,,INE498L01015,L&T Finance Limited
NSE:LTFOODS,LTFOODS,,INE818H01020,LT Foods Limited
NSE:LTM,LTM,,INE214T01019,LTM Limited
NSE:LTTS,LTTS,,INE010V01017,L&T Technology Services Limited
NSE:LUMAXIND,LUMAXIND,,INE162B01018,Lumax Industries Limited
NSE:LUMAXTECH,LUMAXTECH,,INE872H01027,Lumax Auto Technologies Limited
NSE:LUPIN,LUPIN,,INE326A01037,Lupin Limited
NSE:LUXIND,LUXIND,,INE150G01020,Lux Industries Limited
NSE:LXCHEM,LXCHEM,,INE576O01020,Laxmi Organic Industries Limited
NSE:LYKALABS,LYKALABS,,INE933A01014,Lyka Labs Limited
NSE:LYPSAGEMS,LYPSAGEMS,,INE142K01011,Lypsa Gems & Jewellery Limited
NSE:M&M,M&M,,INE101A01026,Mahindra & Mahindra Limited
NSE:M&MFIN,M&MFIN,,INE774D01024,Mahindra & Mahindra Financial Services Limited
NSE:MAANALU,MAANALU,,INE215I01027,Maan Aluminium Limited
NSE:MACPOWER,MACPOWER,,INE155Z01011,Macpower CNC Machines Limited
NSE:MADHAV,MADHAV,,INE925C01016,Madhav Marbles and Granites Limited
NSE:MADHAVIPL,MADHAVIPL,,INE631R01026,Madhav Infra Projects Limited
NSE:MADHUCON,MADHUCON,,INE378D01032,Madhucon Projects Limited
NSE:MADRASFERT,MADRASFERT,,INE414A01015,Madras Fertilizers Limited
NSE:MAFATIND,MAFATIND,,INE270B01035,Mafatlal Industries Limited
NSE:MAGADSUGAR,MAGADSUGAR,,INE347W01011,Magadh Sugar & Energy Limited
NSE:MAGNUM,MAGNUM,,INE387I01016,Magnum Ventures Limited
NSE:MAHABANK,MAHABANK,,INE457A01014,Bank of Maharashtra
NSE:MAHAPEXLTD,MAHAPEXLTD,,INE843B01013,Maha Rashtra Apex Corporation Limited
NSE:MAHASTEEL,MAHASTEEL,,INE451L01014,Mahamaya Steel Industries Limited
NSE:MAHEPC,MAHEPC,,INE215D01010,Mahindra EPC Irrigation Limited
NSE:MAHESHWARI,MAHESHWARI,,INE263W01010,Maheshwari Logistics Limited
NSE:MAHLIFE,MAHLIFE,,INE813A01018,Mahindra Lifespace Developers Limited
NSE:MAHLOG,MAHLOG,,INE766P01016,Mahindra Logistics Limited
NSE:MAHSCOOTER,MAHSCOOTER,,INE288A01013,Maharashtra Scooters Limited
NSE:MAHSEAMLES,MAHSEAMLES,,INE271B01025,Maharashtra Seamless Limited
NSE:MAITHANALL,MAITHANALL,,INE683C01011,Maithan Alloys Limited
NSE:MAJESAUT,MAJESAUT,,INE201B01022,Majestic Auto Limited
NSE:MALLCOM,MALLCOM,,INE389C01015,Mallcom (India) Limited
NSE:MALUPAPER,MALUPAPER,,INE383H01017,Malu Paper Mills Limited
NSE:MAMATA,MAMATA,,INE0TO701015,Mamata Machinery Limited
NSE:MANAKALUCO,MANAKALUCO,,INE859Q01017,Manaksia Aluminium Company Limited
NSE:MANAKCOAT,MANAKCOAT,,INE830Q01018,Manaksia Coated Metals & Industries Limited
NSE:MANAKSIA,MANAKSIA,,INE015D01022,Manaksia Limited
NSE:MANAKSTEEL,MANAKSTEEL,,INE824Q01011,Manaksia Steels Limited
NSE:MANALIPETC,MANALIPETC,,INE201A01024,Manali Petrochemicals Limited
NSE:MANAPPURAM,MANAPPURAM,,INE522D01027,Manappuram Finance Limited
NSE:MANBA,MANBA,,INE939X01013,Manba Finance Limited
NSE:MANCREDIT,MANCREDIT,,INE545L01039,Mangal Credit and Fincorp Limited
NSE:MANGALAM,MANGALAM,,INE584F01014,Mangalam Drugs And Organics Limited
NSE:MANGLMCEM,MANGLMCEM,,INE347A01017,Mangalam Cement Limited
NSE:MANINDS,MANINDS,,INE993A01026,Man Industries (India) Limited
NSE:MANINFRA,MANINFRA,,INE949H01023,Man Infraconstruction Limited
NSE:MANKIND,MANKIND,,INE634S01028,Mankind Pharma Limited
NSE:MANOMAY,MANOMAY,,INE784W01015,Manomay Tex India Limited
NSE:MANORAMA,MANORAMA,,INE00VM01036,Manorama Industries Limited
NSE:MANORG,MANORG,,INE370D01013,Mangalam Organics Limited
NSE:MANUGRAPH,MANUGRAPH,,INE867A01022,Manugraph India Limited
NSE:MANYAVAR,MANYAVAR,,INE825V01034,Vedant Fashions Limited
NSE:MAPMYINDIA,MAPMYINDIA,,INE0BV301023,C.E. Info Systems Limited
NSE:MARALOVER,MARALOVER,,INE882A01013,Maral Overseas Limited
NSE:MARATHON,MARATHON,,INE182D01020,Marathon Nextgen Realty Limited
NSE:MARICO,MARICO,,INE196A01026,Marico Limited
NSE:MARINE,MARINE,,INE01JE01028,Marine Electricals (India) Limited
NSE:MARKOLINES,MARKOLINES,,INE0FW001016,Markolines Pavement Technologies Limited
NSE:MARKSANS,MARKSANS,,INE750C01026,Marksans Pharma Limited
NSE:MARSONS,MARSONS,,INE415B01044,Marsons Limited
NSE:MARUTI,MARUTI,,INE585B01010,Maruti Suzuki India Limited
NSE:MASFIN,MASFIN,,INE348L01012,MAS Financial Services Limited
NSE:MASKINVEST,MASKINVEST,,INE885F01015,Mask Investments Limited
NSE:MASTEK,MASTEK,,INE759A01021,Mastek Limited
NSE:MASTERTR,MASTERTR,,INE677D01037,Master Trust Limited
NSE:MATRIMONY,MATRIMONY,,INE866R01028,Matrimony.Com Limited
NSE:MAWANASUG,MAWANASUG,,INE636A01039,Mawana Sugars Limited
NSE:MAXESTATES,MAXESTATES,,INE03EI01018,Max Estates Limited
NSE:MAXHEALTH,MAXHEALTH,,INE027H01010,Max Healthcare Institute Limited
NSE:MAXIND,MAXIND,,INE0CG601016,Max India Limited
NSE:MAYURUNIQ,MAYURUNIQ,,INE040D01038,Mayur Uniquoters Ltd
NSE:MAZDA,MAZDA,,INE885E01042,Mazda Limited
NSE:MAZDOCK,MAZDOCK,,INE249Z01020,Mazagon Dock Shipbuilders Limited
NSE:MBAPL,MBAPL,,INE900L01010,Madhya Bharat Agro Products Limited
NSE:MBEL,MBEL,,INE08N601015,M & B Engineering Limited
NSE:MBLINFRA,MBLINFRA,,INE912H01013,MBL Infrastructure Limited
NSE:MCCHRLS-B,MCCHRLS-B,,INE435D01014,Mac Charles India Limited
NSE:MCL,MCL,,INE813V01022,Madhav Copper Limited
NSE:MCLEODRUSS,MCLEODRUSS,,INE942G01012,Mcleod Russel India Limited
NSE:MCLOUD,MCLOUD,,INE613C01026,Magellanic Cloud Limited
NSE:MCX,MCX,,INE745G01043,Multi Commodity Exchange of India Limited
NSE:MEDANTA,MEDANTA,,INE474Q01031,Global Health Limited
NSE:MEDIASSIST,MEDIASSIST,,INE456Z01021,Medi Assist Healthcare Services Limited
NSE:MEDICAMEQ,MEDICAMEQ,,INE646B01010,Medicamen Biotech Limited
NSE:MEDICO,MEDICO,,INE630Y01024,Medico Remedies Limited
NSE:MEDPLUS,MEDPLUS,,INE804L01022,Medplus Health Services Limited
NSE:MEESHO,MEESHO,,INE0VDM01015,Meesho Limited
NSE:MEGASTAR,MEGASTAR,,INE00EM01016,Megastar Foods Limited
NSE:MEIL,MEIL,,INE0PKD01011,Mangal Electrical Industries Limited
NSE:MENNPIS,MENNPIS,,INE650G01029,Menon Pistons Limited
NSE:MENONBE,MENONBE,,INE071D01033,Menon Bearings Limited
NSE:MEP,MEP,,INE776I01010,MEP Infrastructure Developers Limited
